pathway,Biodomain,biodomain_top5
GOBP_POST_TRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION,Proteostasis,"Proteostasis, Synapse, Structural Stabilization, Autophagy, Mitochondrial Metabolism"
GOBP_REPLICATION_FORK_PROCESSING,Cell Cycle,"DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic"
GOBP_POSITIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS,unknown,"Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism, Oxidative Stress"
GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING,unknown,"Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome"
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE,Immune Response,"Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis"
GOBP_WYBUTOSINE_METABOLIC_PROCESS,unknown,"Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome, Epigenetic"
GOBP_KILLING_OF_CELLS_OF_ANOTHER_ORGANISM,Immune Response,"Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Structural Stabilization"
GOBP_REGULATION_OF_PROTEIN_STABILITY,Proteostasis,"Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Structural Stabilization"
GOBP_PROTEIN_DESTABILIZATION,Proteostasis,"Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Structural Stabilization"
GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY,Immune Response,"Immune Response, Oxidative Stress, Vasculature, Endolysosome, Autophagy"
GOBP_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY,Immune Response,"Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism, Vasculature"
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION,unknown,"Proteostasis, Autophagy, Cell Cycle, Epigenetic, Immune Response"
GOBP_ISG15_PROTEIN_CONJUGATION,unknown,"Proteostasis, Immune Response, Oxidative Stress, Endolysosome, DNA Repair"
GOBP_NEGATIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY,Apoptosis,"Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Epigenetic"
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC,Synapse,"Synapse, Immune Response, Oxidative Stress, Structural Stabilization, Apoptosis"
GOBP_DENSE_CORE_GRANULE_LOCALIZATION,unknown,"Endolysosome, Synapse, Structural Stabilization, Immune Response, Autophagy"
GOBP_POSITIVE_REGULATION_OF_GONADOTROPIN_SECRETION,unknown,"Immune Response, Vasculature, Synapse, Structural Stabilization, Lipid Metabolism"
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT,unknown,"Endolysosome, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism"
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,unknown,"Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Immune Response"
GOBP_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY,Lipid Metabolism,"Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Vasculature"
GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY,Lipid Metabolism,"Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Vasculature"
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Autophagy, DNA Repair, Apoptosis, Immune Response"
GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,Immune Response,"Immune Response, Oxidative Stress, Proteostasis, Vasculature, Apoptosis"
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_CELL,Proteostasis,"Proteostasis, Structural Stabilization, Autophagy, Endolysosome, RNA Spliceosome"
GOBP_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization"
GOBP_PROTEIN_TRANSPORT_WITHIN_LIPID_BILAYER,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Structural Stabilization, Proteostasis"
GOBP_INTERFERON_ALPHA_PRODUCTION,Immune Response,"Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis"
GOBP_INTERFERON_BETA_PRODUCTION,Immune Response,"Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis"
GOBP_INTERLEUKIN_18_PRODUCTION,Immune Response,"Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis"
GOBP_INTERLEUKIN_23_PRODUCTION,Immune Response,"Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis"
GOBP_NEGATIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION,Immune Response,"Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION,Immune Response,"Immune Response, Vasculature, Oxidative Stress, Apoptosis, Structural Stabilization"
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_18_PRODUCTION,Immune Response,"Immune Response, Vasculature, Oxidative Stress, Apoptosis, Structural Stabilization"
GOBP_POSITIVE_REGULATION_OF_CREB_TRANSCRIPTION_FACTOR_ACTIVITY,Epigenetic,"Synapse, Immune Response, Epigenetic, Proteostasis, APP Metabolism"
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis"
GOBP_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis"
GOBP_REGULATION_OF_SUPEROXIDE_ANION_GENERATION,Oxidative Stress,"Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis, Structural Stabilization"
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Immune Response"
GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY,Lipid Metabolism,"Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Vasculature"
GOBP_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION,Cell Cycle,"Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis"
GOBP_MEIOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING,Cell Cycle,"Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic"
GOBP_MITOTIC_DNA_REPLICATION_CHECKPOINT_SIGNALING,Cell Cycle,"Cell Cycle, DNA Repair, Mitochondrial Metabolism, Apoptosis, Proteostasis"
GOBP_S_ADENOSYLMETHIONINE_CYCLE,unknown,"Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic"
GOBP_CARBOHYDRATE_HOMEOSTASIS,unknown,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis"
GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Oxidative Stress, Autophagy, Immune Response, Mitochondrial Metabolism"
GOBP_REGULATION_OF_NAD_P_H_OXIDASE_ACTIVITY,Oxidative Stress,"Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism"
GOBP_POSITIVE_REGULATION_OF_NAD_P_H_OXIDASE_ACTIVITY,Oxidative Stress,"Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism"
GOBP_PROTEIN_LOCALIZATION_TO_GOLGI_APPARATUS,Proteostasis,"Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Endolysosome"
GOBP_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION,Cell Cycle,"Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization"
GOBP_ERYTHROCYTE_HOMEOSTASIS,Immune Response,"Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis"
GOBP_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY,Immune Response,"Immune Response, Oxidative Stress, Vasculature, Structural Stabilization, Apoptosis"
GOBP_RESPONSE_TO_TYPE_III_INTERFERON,Immune Response,"Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis"
GOBP_LIPID_DROPLET_ORGANIZATION,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis"
GOBP_EARLY_ENDOSOME_TO_GOLGI_TRANSPORT,Endolysosome,"Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism"
GOBP_CENTROMERE_COMPLEX_ASSEMBLY,Cell Cycle,"Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis"
GOBP_CELLULAR_RESPONSE_TO_HEAT,unknown,"Oxidative Stress, Proteostasis, Immune Response, Autophagy, Epigenetic"
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,unknown,"Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, DNA Repair"
GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Proteostasis,"Proteostasis, Oxidative Stress, Autophagy, Immune Response, Epigenetic"
GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,unknown,"Synapse, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis"
GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION,Epigenetic,"RNA Spliceosome, Epigenetic, Proteostasis, Immune Response, Autophagy"
GOBP_INTRACELLULAR_TRIGLYCERIDE_HOMEOSTASIS,Lipid Metabolism,"Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy"
GOBP_REGULATION_OF_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY,unknown,"Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Endolysosome"
GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ENDOPLASMIC_RETICULUM,Proteostasis,"Proteostasis, Autophagy, Endolysosome, Epigenetic, DNA Repair"
GOBP_VESICLE_CARGO_LOADING,Proteostasis,"Endolysosome, Autophagy, Proteostasis, Synapse, Structural Stabilization"
GOBP_TRIF_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,Immune Response,"Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Structural Stabilization"
GOBP_REGULATION_OF_URINE_VOLUME,unknown,"Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_URINE_VOLUME,unknown,"Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis"
GOBP_RENAL_SODIUM_EXCRETION,unknown,"Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Metal Binding and Homeostasis"
GOBP_HOMOLOGOUS_RECOMBINATION,Cell Cycle,"DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy"
GOBP_NAIL_DEVELOPMENT,unknown,"Vasculature, Structural Stabilization, Myelination, Immune Response, Epigenetic"
GOBP_ASCENDING_AORTA_DEVELOPMENT,Vasculature,"Vasculature, Structural Stabilization, Immune Response, Mitochondrial Metabolism, Apoptosis"
GOBP_DORSAL_AORTA_DEVELOPMENT,Vasculature,"Vasculature, Mitochondrial Metabolism, Structural Stabilization, Immune Response, Lipid Metabolism"
GOBP_AORTA_MORPHOGENESIS,Vasculature,"Vasculature, Mitochondrial Metabolism, Structural Stabilization, Immune Response, Apoptosis"
GOBP_DORSAL_AORTA_MORPHOGENESIS,Vasculature,"Vasculature, Structural Stabilization, Immune Response, APP Metabolism, Autophagy"
GOBP_SKELETAL_MUSCLE_CELL_DIFFERENTIATION,unknown,"Vasculature, Synapse, Structural Stabilization, Immune Response, Myelination"
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,Proteostasis,"Proteostasis, Autophagy, DNA Repair, Oxidative Stress, Epigenetic"
GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Oxidative Stress, Immune Response, APP Metabolism, Autophagy"
GOBP_RNA_GUANINE_N7_METHYLATION,unknown,"RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy"
GOBP_CELLULAR_RESPONSE_TO_INCREASED_OXYGEN_LEVELS,Oxidative Stress,"Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis, Endolysosome"
GOBP_RESPONSE_TO_INCREASED_OXYGEN_LEVELS,Oxidative Stress,"Oxidative Stress, Mitochondrial Metabolism, Immune Response, Vasculature, Proteostasis"
GOBP_INTERSTRAND_CROSS_LINK_REPAIR,DNA Repair,"DNA Repair, Proteostasis, Oxidative Stress, Cell Cycle, Epigenetic"
GOBP_INTESTINAL_STEM_CELL_HOMEOSTASIS,unknown,"Vasculature, Immune Response, Structural Stabilization, Proteostasis, Myelination"
GOBP_SODIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE,Metal Binding and Homeostasis,"Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Synapse, Lipid Metabolism"
GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,Proteostasis,"Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Immune Response"
GOBP_ERAD_PATHWAY,Proteostasis,"Proteostasis, Autophagy, Endolysosome, DNA Repair, Oxidative Stress"
GOBP_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Immune Response,"Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Structural Stabilization"
GOBP_NEGATIVE_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Immune Response,"Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis"
GOBP_VIRAL_RNA_GENOME_REPLICATION,unknown,"Viral Rna Genome Replication, Immune Response, RNA Spliceosome, Proteostasis, Oxidative Stress"
GOBP_REGULATION_OF_GROWTH,unknown,"Vasculature, Immune Response, Structural Stabilization, Mitochondrial Metabolism, Proteostasis"
GOBP_SNRNA_MODIFICATION,RNA Spliceosome,"RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy"
GOBP_PROTEIN_REFOLDING,Proteostasis,"Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism"
GOBP_FLUID_TRANSPORT,unknown,"Vasculature, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization"
GOBP_EPITHELIAL_FLUID_TRANSPORT,unknown,"Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Autophagy"
GOBP_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,unknown,"Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis"
GOBP_REGULATION_OF_CATECHOLAMINE_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis"
GOBP_STRAND_INVASION,Cell Cycle,"DNA Repair, RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis"
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome"
GOBP_RIBOSOME_BIOGENESIS,Proteostasis,"Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, DNA Repair"
GOBP_PROTECTION_FROM_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,Immune Response,"Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress"
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,Proteostasis,"Proteostasis, RNA Spliceosome, Structural Stabilization, DNA Repair, Autophagy"
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_IMPORT_INTO_NUCLEUS,unknown,"Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy"
GOBP_DOPAMINE_BIOSYNTHETIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Synapse, Immune Response, Mitochondrial Metabolism, Oxidative Stress"
GOBP_MIDDLE_EAR_MORPHOGENESIS,unknown,"Vasculature, Structural Stabilization, Immune Response, Myelination, APP Metabolism"
GOBP_NEGATIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN,unknown,"Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis, Epigenetic"
GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY,Immune Response,"Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization"
GOBP_RECEPTOR_METABOLIC_PROCESS,unknown,"Lipid Metabolism, Synapse, Endolysosome, Immune Response, Vasculature"
GOBP_NEGATIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING,Apoptosis,"Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome"
GOBP_APOPTOTIC_CELL_CLEARANCE,Apoptosis,"Apoptosis, Immune Response, Autophagy, Proteostasis, Endolysosome"
GOBP_NATURAL_KILLER_CELL_DEGRANULATION,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Structural Stabilization"
GOBP_STEROID_HORMONE_MEDIATED_SIGNALING_PATHWAY,Lipid Metabolism,"Lipid Metabolism, Vasculature, Immune Response, Mitochondrial Metabolism, Epigenetic"
GOBP_REGULATION_OF_MAP_KINASE_ACTIVITY,unknown,"Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic"
GOBP_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,unknown,"Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic"
GOBP_NEGATIVE_REGULATION_OF_MAPK_CASCADE,unknown,"Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic"
GOBP_NEGATIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,Epigenetic,"Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy"
GOBP_MITOCHONDRIAL_DNA_REPAIR,Mitochondrial Metabolism,"DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy"
GOBP_REGULATION_OF_JUN_KINASE_ACTIVITY,unknown,"Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic"
GOBP_POSITIVE_REGULATION_OF_JUN_KINASE_ACTIVITY,unknown,"Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization"
GOBP_NEGATIVE_REGULATION_OF_JUN_KINASE_ACTIVITY,Immune Response,"Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic"
GOBP_PEROXISOMAL_TRANSPORT,unknown,"Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism"
GOBP_AMIDE_METABOLIC_PROCESS,unknown,"Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Proteostasis"
GOBP_LINOLEIC_ACID_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Immune Response"
GOBP_ENGULFMENT_OF_APOPTOTIC_CELL,Apoptosis,"Apoptosis, Autophagy, Immune Response, Endolysosome, Proteostasis"
GOBP_RECOGNITION_OF_APOPTOTIC_CELL,Apoptosis,"Apoptosis, Autophagy, Immune Response, Proteostasis, Endolysosome"
GOBP_REGULATION_OF_EXCRETION,unknown,"Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome"
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION,unknown,"Proteostasis, Oxidative Stress, Immune Response, Epigenetic, Structural Stabilization"
GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE,Mitochondrial Metabolism,"Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization"
GOBP_CELL_CYCLE_DNA_REPLICATION,Cell Cycle,"Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Mitochondrial Metabolism"
GOBP_MODULATION_BY_HOST_OF_VIRAL_PROCESS,Immune Response,"Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis"
GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_PROCESS,Immune Response,"Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis"
GOBP_MODULATION_BY_HOST_OF_VIRAL_GENOME_REPLICATION,Immune Response,"Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome"
GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_GENOME_REPLICATION,Immune Response,"Immune Response, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism"
GOBP_MODULATION_BY_HOST_OF_VIRAL_RNA_GENOME_REPLICATION,Immune Response,"Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, RNA Spliceosome"
GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION,Cell Cycle,"Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Mitochondrial Metabolism"
GOBP_LIPOPROTEIN_LOCALIZATION,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Vasculature, Metal Binding and Homeostasis, Autophagy"
GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY,Cell Cycle,"DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism"
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis"
GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE,Proteostasis,"Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, Structural Stabilization"
GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE_BY_STOP_TRANSFER_MEMBRANE_ANCHOR_SEQUENCE,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Structural Stabilization, RNA Spliceosome"
GOBP_POSITIVE_THYMIC_T_CELL_SELECTION,Immune Response,"Immune Response, Vasculature, Synapse, Apoptosis, Myelination"
GOBP_INTEGRIN_BIOSYNTHETIC_PROCESS,Structural Stabilization,"Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism"
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION,Cell Cycle,"Cell Cycle, DNA Repair, Structural Stabilization, Autophagy, Epigenetic"
GOBP_APICAL_PROTEIN_LOCALIZATION,Structural Stabilization,"Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy"
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION,Proteostasis,"Proteostasis, Structural Stabilization, Autophagy, Endolysosome, RNA Spliceosome"
GOBP_MHC_CLASS_I_BIOSYNTHETIC_PROCESS,Immune Response,"Vasculature, Immune Response, Endolysosome, Proteostasis, Structural Stabilization"
GOBP_POSITIVE_REGULATION_OF_MHC_CLASS_I_BIOSYNTHETIC_PROCESS,Immune Response,"Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis"
GOBP_REGULATION_OF_GAMMA_DELTA_T_CELL_DIFFERENTIATION,Immune Response,"Immune Response, Vasculature, Synapse, Apoptosis, Proteostasis"
GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,Immune Response,"Vasculature, Immune Response, Myelination, Structural Stabilization, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,Immune Response,"Vasculature, Immune Response, Myelination, Structural Stabilization, Proteostasis"
GOBP_RESPIRATORY_BURST,Immune Response,"Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Endolysosome"
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome"
GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE,Immune Response,"Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome"
GOBP_NEGATIVE_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION,Cell Cycle,"Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic"
GOBP_NEGATIVE_REGULATION_OF_GROWTH,unknown,"Cell Cycle, Apoptosis, Immune Response, Proteostasis, Structural Stabilization"
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,unknown,"Vasculature, Synapse, Structural Stabilization, Immune Response, Apoptosis"
GOBP_ADENOSINE_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Tau Homeostasis"
GOBP_INOSINE_METABOLIC_PROCESS,unknown,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response"
GOBP_PURINE_RIBONUCLEOSIDE_CATABOLIC_PROCESS,Cell Cycle,"Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, DNA Repair, Autophagy"
GOBP_REGULATION_OF_GLUCOSE_IMPORT,Lipid Metabolism,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Immune Response"
GOBP_REGULATION_OF_JNK_CASCADE,Immune Response,"Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_JNK_CASCADE,Immune Response,"Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism"
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT,Immune Response,"Immune Response, Vasculature, Synapse, Oxidative Stress, Proteostasis"
GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, APP Metabolism"
GOBP_PROSTANOID_BIOSYNTHETIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, APP Metabolism"
GOBP_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress"
GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Vasculature"
GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress"
